"","species_name","plant_area","number","percent"
"145","CERASIFERA","B",178,1.48854323465462
"146","CERASIFERA","C",31,0.259240675698277
"147","CERASIFERA","G",6,0.0501756146512795
"148","CERASIFERA","N",1007,8.42114065897307
"149","CERASIFERA","V",10736,89.7808998160227
"150","CHINENSE","B",10,5.52486187845304
"151","CHINENSE","C",20,11.0497237569061
"152","CHINENSE","G",11,6.07734806629834
"153","CHINENSE","N",19,10.4972375690608
"154","CHINENSE","V",121,66.8508287292818
"155","CHINENSIS","V",24,100
"156","CINEREA","B",1,3.7037037037037
"157","CINEREA","N",6,22.2222222222222
"158","CINEREA","V",20,74.0740740740741
"159","CIRCINATUM","B",69,70.4081632653061
"160","CIRCINATUM","N",6,6.12244897959184
"161","CIRCINATUM","V",23,23.469387755102
"162","CISSIFOLIUM","C",1,5
"163","CISSIFOLIUM","V",19,95
"164","COCCINEA","B",28,7.97720797720798
"165","COCCINEA","C",68,19.3732193732194
"166","COCCINEA","G",6,1.70940170940171
"167","COCCINEA","N",29,8.26210826210826
"168","COCCINEA","V",220,62.6780626780627
"169","COCOMILIA","V",3,100
"170","COLUMA","N",1,16.6666666666667
"171","COLUMA","V",5,83.3333333333333
"172","COLURNA","B",1,1.92307692307692
"173","COLURNA","N",3,5.76923076923077
"174","COLURNA","V",48,92.3076923076923
"175","COMMUNIS","B",2,9.52380952380952
"176","COMMUNIS","N",10,47.6190476190476
"177","COMMUNIS","V",9,42.8571428571429
"178","CONCOLOR","B",1,10
"179","CONCOLOR","N",2,20
"180","CONCOLOR","V",7,70
"181","CONTORTA","B",58,51.7857142857143
"182","CONTORTA","C",1,0.892857142857143
"183","CONTORTA","N",15,13.3928571428571
"184","CONTORTA","V",38,33.9285714285714
"185","CONTROVERSA","B",3,4.76190476190476
"186","CONTROVERSA","N",23,36.5079365079365
"187","CONTROVERSA","V",37,58.7301587301587
"188","CORDATA","B",60,5.24017467248908
"189","CORDATA","C",134,11.703056768559
"190","CORDATA","G",16,1.39737991266376
"191","CORDATA","N",79,6.89956331877729
"192","CORDATA","V",856,74.7598253275109
"193","CRENATA","N",12,14.4578313253012
"194","CRENATA","V",71,85.5421686746988
"195","CRUS-GALLI","B",8,3.08880308880309
"196","CRUS-GALLI","C",6,2.31660231660232
"197","CRUS-GALLI","N",10,3.86100386100386
"198","CRUS-GALLI","V",235,90.7335907335907
"199","CYLINDRICA","N",1,50
"200","CYLINDRICA","V",1,50
"201","DAVIDII","B",3,5.55555555555556
"202","DAVIDII","C",8,14.8148148148148
"203","DAVIDII","N",9,16.6666666666667
"204","DAVIDII","V",34,62.962962962963
"205","DAWSONIANA","V",7,100
"206","DECIDUA","V",11,100
"207","DECURRENS","B",5,17.2413793103448
"208","DECURRENS","N",1,3.44827586206897
"209","DECURRENS","V",23,79.3103448275862
"210","DENTATA","B",1,16.6666666666667
"211","DENTATA","V",5,83.3333333333333
"212","DENUDATA","B",3,3.19148936170213
"213","DENUDATA","C",2,2.12765957446809
"214","DENUDATA","N",18,19.1489361702128
"215","DENUDATA","V",71,75.531914893617
"216","DEODARA","B",83,36.4035087719298
"217","DEODARA","N",69,30.2631578947368
"218","DEODARA","V",76,33.3333333333333
"219","DIOICUS","B",1,2.7027027027027
"220","DIOICUS","N",3,8.10810810810811
"221","DIOICUS","V",33,89.1891891891892
"222","DISTICHUM","V",6,100
"223","DOMESTICA","B",1,4.16666666666667
"224","DOMESTICA","N",10,41.6666666666667
"225","DOMESTICA","V",13,54.1666666666667
"226","DOUGLASII","N",30,14.7058823529412
"227","DOUGLASII","V",174,85.2941176470588
"228","ELATA","N",1,25
"229","ELATA","V",3,75
"230","ELLIPSOIDALIS","C",22,57.8947368421053
"231","ELLIPSOIDALIS","V",16,42.1052631578947
"232","ENGELMANNII","B",1,50
"233","ENGELMANNII","N",1,50
"234","ERUBESCENS","V",6,100
"235","EUCHLORA   X","B",113,2.56119673617407
"236","EUCHLORA   X","C",730,16.5457842248413
"237","EUCHLORA   X","G",94,2.13055303717135
"238","EUCHLORA   X","N",215,4.87307343608341
"239","EUCHLORA   X","V",3260,73.8893925657298
"240","EUROPAEA   X","N",3,2.25563909774436
"241","EUROPAEA   X","V",130,97.7443609022556
"242","EUROPEA","C",2,22.2222222222222
"243","EUROPEA","N",1,11.1111111111111
"244","EUROPEA","V",6,66.6666666666667
"245","EXCELSIOR","B",34,3.0713640469738
"246","EXCELSIOR","C",12,1.0840108401084
"247","EXCELSIOR","G",5,0.4516711833785
"248","EXCELSIOR","N",94,8.49141824751581
"249","EXCELSIOR","V",962,86.9015356820235
"250","FLAVA","B",3,21.4285714285714
"251","FLAVA","N",1,7.14285714285714
"252","FLAVA","V",10,71.4285714285714
"253","FLEXILUS","N",1,5.88235294117647
